Rank,Username,Categories,Suscribers,Country,Visits,Likes,Comments,Links,Cluster,Recommendation
31,marshmello,Música y baile,56700000.0,Estados Unidos,145900.0,8900.0,167.0,http://youtube.com/channel/UCEdvpU2pFRCVqU6yIPyTpMQ,0,Recommend channels from Cluster 0 to users interested in this type of content.
32,yrf,Música y baile,55700000.0,India,60300.0,2100.0,33.0,http://youtube.com/channel/UCbTLwN10NoCU4WDzLf1JMOA,0,Recommend channels from Cluster 0 to users interested in this type of content.
33,infobellshindirhymes,Educación,55700000.0,Unknown,1200000.0,34700.0,0.0,http://youtube.com/channel/UC1ciY6kR3yj3kaKZ6R7ewAg,0,Recommend channels from Cluster 0 to users interested in this type of content.
34,LooLooKids,Música y baile,54800000.0,Estados Unidos,595600.0,2700.0,0.0,http://youtube.com/channel/UC4NALVCmcmL5ntpV0thoH6w,0,Recommend channels from Cluster 0 to users interested in this type of content.
35,TaylorSwift,Música y baile,54100000.0,Estados Unidos,4300000.0,300400.0,15000.0,http://youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g,0,Recommend channels from Cluster 0 to users interested in this type of content.
36,EdSheeran,Música y baile,53700000.0,Estados Unidos,144200.0,10200.0,345.0,http://youtube.com/channel/UC0C-w0YjGpqDXGB8IHb662A,0,Recommend channels from Cluster 0 to users interested in this type of content.
37,BillionSurpriseToys,Juguetes,53100000.0,Unknown,1600000.0,0.0,0.0,http://youtube.com/channel/UCRx3mKNUdl8QE06nEug7p6Q,0,Recommend channels from Cluster 0 to users interested in this type of content.
38,ArianaGrande,Música y baile,52900000.0,Estados Unidos,1100000.0,85800.0,3800.0,http://youtube.com/channel/UC9CoOnJkIBMdeijd9qYoT_g,0,Recommend channels from Cluster 0 to users interested in this type of content.
39,shemaroo,,48800000.0,India,22600.0,163.0,7.0,http://youtube.com/channel/UCF1JIbMUs6uqoZEY1Haw0GQ,1,Recommend channels from Cluster 1 to users interested in this type of content.
40,JuegaGerman,"Películas, Animación",48600000.0,México,2000000.0,117100.0,3000.0,http://youtube.com/channel/UCYiGq8XF7YQD00x7wAd62Zg,1,Recommend channels from Cluster 1 to users interested in this type of content.
41,BillieEilish,Música y baile,48600000.0,Estados Unidos,208100.0,27200.0,476.0,http://youtube.com/channel/UCiGm_E4ZwYSHV3bcW1pnSeQ,1,Recommend channels from Cluster 1 to users interested in this type of content.
42,getmovies,,48100000.0,Unknown,55700.0,329.0,0.0,http://youtube.com/channel/UClZkHt2kNIgyrTTPnSQV3SA,1,Recommend channels from Cluster 1 to users interested in this type of content.
43,sonymusicindiaVEVO,Música y baile,47500000.0,India,36600.0,664.0,28.0,http://youtube.com/channel/UC3MLnJtqc_phABBriLRhtgQ,1,Recommend channels from Cluster 1 to users interested in this type of content.
44,A4a4a4a4,"Animación, Humor",47300000.0,Rusia,9700000.0,330400.0,22000.0,http://youtube.com/channel/UC2tsySbe9TNrI-xh2lximHA,1,Recommend channels from Cluster 1 to users interested in this type of content.
45,badabunOficial,,47000000.0,México,6800.0,260.0,4.0,http://youtube.com/channel/UCYWOjHweP2V-8kGKmmAmQJQ,1,Recommend channels from Cluster 1 to users interested in this type of content.
46,HarPalGeoOfficial,"Películas, Animación",46400000.0,Pakistán,11000.0,299.0,2.0,http://youtube.com/channel/UCe9JSDmyqNgA_l2BzGHq1Ug,1,Recommend channels from Cluster 1 to users interested in this type of content.
47,vootkids,,46000000.0,Unknown,540900.0,3400.0,0.0,http://youtube.com/channel/UCJg19noZp7-BYIGvypu_cow,1,Recommend channels from Cluster 1 to users interested in this type of content.
48,ARYDigitalasia,,45900000.0,Pakistán,20000.0,242.0,13.0,http://youtube.com/channel/UC4JCksJF76g_MdzPVBJoC3Q,1,Recommend channels from Cluster 1 to users interested in this type of content.
49,felipeneto,,45600000.0,Brasil,850600.0,82100.0,1100.0,http://youtube.com/channel/UCV306eHqgo0LvBf3Mh36AHg,1,Recommend channels from Cluster 1 to users interested in this type of content.
50,abscbnentertainment,,45000000.0,Filipinas,6100.0,180.0,2.0,http://youtube.com/channel/UCstEtN0pgOmCf02EdXsGChw,1,Recommend channels from Cluster 1 to users interested in this type of content.
51,vcsabiavideos,,45000000.0,Brasil,665700.0,39800.0,593.0,http://youtube.com/channel/UCj0O6W8yDuLg3iraAXKgCrQ,1,Recommend channels from Cluster 1 to users interested in this type of content.
52,BRIGHTSIDEOFFICIAL,,44600000.0,Estados Unidos,22700.0,430.0,21.0,http://youtube.com/channel/UC4rlAVgAK0SGk-yTfe48Qpw,1,Recommend channels from Cluster 1 to users interested in this type of content.
53,KatyPerry,Música y baile,44400000.0,Unknown,101400.0,7500.0,177.0,http://youtube.com/channel/UCYvmuw-JtVrTZQ-7Y4kd63Q,1,Recommend channels from Cluster 1 to users interested in this type of content.
54,Shakira,Videojuegos,44400000.0,Estados Unidos,102100.0,8200.0,210.0,http://youtube.com/channel/UCYLNGLIzMhRTi6ZOLjAPSmw,1,Recommend channels from Cluster 1 to users interested in this type of content.
55,whindersson,"Música y baile, Animación",44400000.0,Brasil,174600.0,35700.0,154.0,http://youtube.com/channel/UC3KQ5GWANYF8lChqjZpXsQw,1,Recommend channels from Cluster 1 to users interested in this type of content.
56,MashaBearRUSSIAN,,44200000.0,Unknown,664500.0,5700.0,0.0,http://youtube.com/channel/UCRv76wLBC73jiP7LX4C3l8Q,1,Recommend channels from Cluster 1 to users interested in this type of content.
57,Alanwalkermusic,"Música y baile, Películas",44000000.0,Estados Unidos,124700.0,8200.0,205.0,http://youtube.com/channel/UCJrOtniJ0-NWz37R30urifQ,1,Recommend channels from Cluster 1 to users interested in this type of content.
58,MashaBearEN,"Películas, Animación",43700000.0,Unknown,856200.0,7500.0,0.0,http://youtube.com/channel/UCu59yAFE8fM0sVNTipR4edw,1,Recommend channels from Cluster 1 to users interested in this type of content.
59,Mikecrack,"Películas, Animación",43400000.0,México,2200000.0,183400.0,1800.0,http://youtube.com/channel/UCqJ5zFEED1hWs0KNQCQuYdQ,1,Recommend channels from Cluster 1 to users interested in this type of content.
60,toysandcolors,"Películas, Juguetes",42900000.0,Unknown,2000000.0,4600.0,0.0,http://youtube.com/channel/UCgFXm4TI8htWmCyJ6cVPG_A,1,Recommend channels from Cluster 1 to users interested in this type of content.
61,speedrecords,Música y baile,42900000.0,India,21100.0,1100.0,30.0,http://youtube.com/channel/UCOsyDsO5tIt-VZ1iwjdQmew,1,Recommend channels from Cluster 1 to users interested in this type of content.
62,LikeNastya_Show,"Películas, Juguetes",42500000.0,Unknown,972200.0,2400.0,0.0,http://youtube.com/channel/UCS94J1s6-qc8v7btCdS2pNg,1,Recommend channels from Cluster 1 to users interested in this type of content.
63,KimberlyLoaiza,Música y baile,42100000.0,México,5300000.0,271300.0,16000.0,http://youtube.com/channel/UCQZfFRohQ7UX-0CdXl-6pwQ,1,Recommend channels from Cluster 1 to users interested in this type of content.
64,IshtarMusic,Música y baile,42100000.0,India,32600.0,994.0,9.0,http://youtube.com/channel/UCWi_65E_L8tQZ34C6wVAlpQ,1,Recommend channels from Cluster 1 to users interested in this type of content.
65,luisitocomunica,,41100000.0,México,2500000.0,128900.0,1800.0,http://youtube.com/channel/UCECJDeK0MNapZbpaOzxrUPA,1,Recommend channels from Cluster 1 to users interested in this type of content.
66,LittleBabyBum,"Animación, Juguetes",41000000.0,Unknown,99000.0,184.0,0.0,http://youtube.com/channel/UCKAqou7V9FAWXpZd9xtOg3Q,1,Recommend channels from Cluster 1 to users interested in this type of content.
67,shfa2,"Animación, Juguetes",40600000.0,Unknown,585500.0,4800.0,0.0,http://youtube.com/channel/UCQ7x25F6YXY9DvGeHFxLhRQ,1,Recommend channels from Cluster 1 to users interested in this type of content.
68,CarryMinati,"Películas, Humor",40300000.0,India,0.0,0.0,0.0,http://youtube.com/channel/UCj22tfcQrWG7EMEKS0qLeEg,1,Recommend channels from Cluster 1 to users interested in this type of content.
69,luccastoon,"Películas, Animación",40100000.0,Brasil,588600.0,13100.0,0.0,http://youtube.com/channel/UC_gV70G_Y51LTa3qhu8KiEA,1,Recommend channels from Cluster 1 to users interested in this type of content.
70,SuperSimpleSongs,Música y baile,39900000.0,Unknown,648400.0,10100.0,0.0,http://youtube.com/channel/UCLsooMJoIpl_7ux2jvdPB-Q,1,Recommend channels from Cluster 1 to users interested in this type of content.
71,JessNoLimit,"Películas, Animación",39600000.0,Indonesia,1300000.0,73500.0,1600.0,http://youtube.com/channel/UCvh1at6xpV1ytYOAzxmqUsA,1,Recommend channels from Cluster 1 to users interested in this type of content.
72,xxxtentacion,Música y baile,39500000.0,Estados Unidos,225700.0,28500.0,2900.0,http://youtube.com/channel/UCM9r1xn6s30OnlJWb-jc3Sw,1,Recommend channels from Cluster 1 to users interested in this type of content.
73,SonyPAL,,39500000.0,India,21800.0,255.0,9.0,http://youtube.com/channel/UCw7xjxzbMwgBSmbeYwqYRMg,1,Recommend channels from Cluster 1 to users interested in this type of content.
74,WorkpointOfficial,,39400000.0,Tailandia,6200.0,157.0,1.0,http://youtube.com/channel/UC3ZkCd7XtUREnjjt3cyY_gg,1,Recommend channels from Cluster 1 to users interested in this type of content.
75,gr6explode,Música y baile,39300000.0,Brasil,120300.0,5700.0,236.0,http://youtube.com/channel/UCNUQK9mQoqi4yNXw2_Rj6SA,1,Recommend channels from Cluster 1 to users interested in this type of content.
76,TEDx,,39100000.0,Estados Unidos,160.0,3.0,0.0,http://youtube.com/channel/UCsT0YIqwnpJCM-mx7-gSA4Q,1,Recommend channels from Cluster 1 to users interested in this type of content.
77,GaaneSuneAnsune,Música y baile,39100000.0,India,28800.0,211.0,9.0,http://youtube.com/channel/UCtW7qWjpCZ8zps-Cf2NF26w,1,Recommend channels from Cluster 1 to users interested in this type of content.
78,shfa-1,Vlogs diarios,39100000.0,Francia,5300000.0,57300.0,0.0,http://youtube.com/channel/UCwHE1kM1CPJd_pI9FQ0-4dg,1,Recommend channels from Cluster 1 to users interested in this type of content.
79,vladvaniki1,"Películas, Humor",38700000.0,Unknown,890600.0,3400.0,0.0,http://youtube.com/channel/UCcOMTVILq-yIqtFmOqt-QOg,1,Recommend channels from Cluster 1 to users interested in this type of content.
80,TheEllenShow,,38300000.0,Estados Unidos,26000.0,433.0,22.0,http://youtube.com/channel/UCp0hYYBW6IMayGgR-WeoCvQ,1,Recommend channels from Cluster 1 to users interested in this type of content.
81,DaddyYankee,Música y baile,38300000.0,Colombia,82800.0,6500.0,123.0,http://youtube.com/channel/UC9TO_oo4c_LrOiKNaY6aysA,1,Recommend channels from Cluster 1 to users interested in this type of content.
82,LikeNastya_ESP,,38100000.0,Unknown,403800.0,1800.0,0.0,http://youtube.com/channel/UCpEJRZdSpdVZ8vh63T9I2KQ,1,Recommend channels from Cluster 1 to users interested in this type of content.
83,one31official,,38100000.0,Tailandia,4800.0,122.0,1.0,http://youtube.com/channel/UC8f7MkX4MFOOJ2SerXLInCA,1,Recommend channels from Cluster 1 to users interested in this type of content.
84,ABPNEWS,,38100000.0,India,2400.0,59.0,0.0,http://youtube.com/channel/UCRWFSbif-RFENbBrSiez1DA,1,Recommend channels from Cluster 1 to users interested in this type of content.
85,MariaClaraeJP,"Películas, Animación",37700000.0,Unknown,1700000.0,10800.0,0.0,http://youtube.com/channel/UCKe6w0exI94U-RzqAyoY1VA,1,Recommend channels from Cluster 1 to users interested in this type of content.
86,YouTube,,37500000.0,Estados Unidos,101200.0,3400.0,364.0,http://youtube.com/channel/UCBR8-60-B28hp2BmDPdntcQ,1,Recommend channels from Cluster 1 to users interested in this type of content.
87,PowerKidstv,"Películas, Animación",37400000.0,India,41700.0,0.0,0.0,http://youtube.com/channel/UCj-SWZSE0AmotGSQ3apROHw,1,Recommend channels from Cluster 1 to users interested in this type of content.
88,Jkk_Entertainment,,37300000.0,India,2300000.0,20100.0,363.0,http://youtube.com/channel/UC5tuYcCdiKuF5Y2ZonuarwA,1,Recommend channels from Cluster 1 to users interested in this type of content.
89,UltraBollywood,,37300000.0,India,24300.0,185.0,10.0,http://youtube.com/channel/UCmL1WlDI8UkXDXCXcBQN9CA,1,Recommend channels from Cluster 1 to users interested in this type of content.
90,SaregamaMusic,Películas,37000000.0,India,27300.0,703.0,26.0,http://youtube.com/channel/UC_A7K2dXFsTMAciGmnNxy-Q,1,Recommend channels from Cluster 1 to users interested in this type of content.
91,RicisOfficial1795,"Música y baile, Películas",36900000.0,Indonesia,343800.0,27500.0,357.0,http://youtube.com/channel/UC4tS4Q_Cno5JVcIUXxQOOpA,1,Recommend channels from Cluster 1 to users interested in this type of content.
92,beterbocuk,,36800000.0,India,1000000.0,54100.0,214.0,http://youtube.com/channel/UC6gVx_vALsYT-z_u1djJbBQ,1,Recommend channels from Cluster 1 to users interested in this type of content.
93,IndiaTV,Noticias y Política,36700000.0,India,14300.0,255.0,3.0,http://youtube.com/channel/UCttspZesZIDEwwpVIgoZtWQ,1,Recommend channels from Cluster 1 to users interested in this type of content.
94,LaGranjaDeZenon,"Música y baile, Animación",36600000.0,Unknown,599800.0,5200.0,0.0,http://youtube.com/channel/UCwpcLKMwiuPg4aqImpGk6Ew,1,Recommend channels from Cluster 1 to users interested in this type of content.
95,tseriesoldisgold,Música y baile,36500000.0,India,41100.0,1200.0,8.0,http://youtube.com/channel/UCRm96I5kmb_iGFofE5N691w,1,Recommend channels from Cluster 1 to users interested in this type of content.
96,Ozuna,Música y baile,36300000.0,Estados Unidos,22700.0,2400.0,76.0,http://youtube.com/channel/UCjIA3wwhi0QjSOXAZwOXbPA,1,Recommend channels from Cluster 1 to users interested in this type of content.
97,TotalGaming093,"Películas, Videojuegos",36300000.0,India,1500000.0,129400.0,4900.0,http://youtube.com/channel/UC5c9VlYTSvBSCaoMu_GI6gQ,1,Recommend channels from Cluster 1 to users interested in this type of content.
98,GenevievesPlayhouse,Juguetes,35700000.0,Unknown,965500.0,824.0,0.0,http://youtube.com/channel/UCK5Q72Uyo73uRPk8PmM2A3w,1,Recommend channels from Cluster 1 to users interested in this type of content.
99,TechnoGamerzOfficial,,35600000.0,India,6200000.0,341800.0,16500.0,http://youtube.com/channel/UCX8pnu3DYUnx8qy8V_c6oHg,1,Recommend channels from Cluster 1 to users interested in this type of content.
100,RyansWorld,"Videojuegos, Juguetes",35500000.0,Unknown,326500.0,2000.0,0.0,http://youtube.com/channel/UChGJGhZ9SOOHvBB0Y4DOO_w,1,Recommend channels from Cluster 1 to users interested in this type of content.
101,markiplier,"Animación, Videojuegos",35500000.0,Estados Unidos,2100000.0,126500.0,3800.0,http://youtube.com/channel/UC7_YxT-KID8kRbqZo7MyscQ,1,Recommend channels from Cluster 1 to users interested in this type of content.
102,tseriesapnapunjab,Música y baile,35000000.0,India,23300.0,601.0,27.0,http://youtube.com/channel/UCcvNYxWXR_5TjVK7cSCdW-g,1,Recommend channels from Cluster 1 to users interested in this type of content.
103,JingleToons,,35000000.0,India,111400.0,641.0,0.0,http://youtube.com/channel/UCK9F8nycURBsR0YlrBsu1Ag,1,Recommend channels from Cluster 1 to users interested in this type of content.
104,thedonato,,34700000.0,México,710700.0,42400.0,541.0,http://youtube.com/channel/UCaHEdZtk6k7SVP-umnzifmQ,1,Recommend channels from Cluster 1 to users interested in this type of content.
105,YOLOAVENTURAS,"Películas, Animación",34600000.0,México,1100000.0,73600.0,0.0,http://youtube.com/channel/UCOnIJiQuk1fDSp6p1GCZy3A,1,Recommend channels from Cluster 1 to users interested in this type of content.
106,GeetMP3,Música y baile,34500000.0,India,0.0,0.0,0.0,http://youtube.com/channel/UClZF7OsrECe3t_ADrjZEh_Q,1,Recommend channels from Cluster 1 to users interested in this type of content.
107,Rajshri,,34200000.0,India,13700.0,119.0,4.0,http://youtube.com/channel/UCEKWXRsfUHkan-D_ljU8Asw,1,Recommend channels from Cluster 1 to users interested in this type of content.
108,starplus,,34200000.0,India,10500.0,267.0,6.0,http://youtube.com/channel/UC-LPIU24bQXVljUXivKEeRQ,1,Recommend channels from Cluster 1 to users interested in this type of content.
109,jbalvin,"Animación, Videojuegos",34200000.0,Colombia,16900.0,1600.0,60.0,http://youtube.com/channel/UCt-k6JwNWHMXDBGm9IYHdsg,1,Recommend channels from Cluster 1 to users interested in this type of content.
110,SSSniperWolf,"Animación, Humor",34200000.0,Estados Unidos,1200000.0,34600.0,2100.0,http://youtube.com/channel/UCpB959t8iPrxQWj7G6n0ctQ,1,Recommend channels from Cluster 1 to users interested in this type of content.
111,Ch3Thailand,,34000000.0,Tailandia,34500.0,442.0,8.0,http://youtube.com/channel/UC48h7Dst_hX82HxOf3xJw_w,1,Recommend channels from Cluster 1 to users interested in this type of content.
112,vegetta777,"Películas, Animación",34000000.0,México,249900.0,19400.0,209.0,http://youtube.com/channel/UCam8T03EOFBsNdR0thrFHdQ,1,Recommend channels from Cluster 1 to users interested in this type of content.
113,NoCopyrightSounds,Música y baile,33600000.0,Estados Unidos,191100.0,6900.0,363.0,http://youtube.com/channel/UC_aEa8K-EOJ3D6gOs7HcyNg,1,Recommend channels from Cluster 1 to users interested in this type of content.
114,KHANDESHIMOVIES,,33600000.0,India,758300.0,6200.0,136.0,http://youtube.com/channel/UCP84QWij0alw4MvzqzyfOnw,1,Recommend channels from Cluster 1 to users interested in this type of content.
115,babybus,"Animación, Juguetes",33300000.0,Unknown,267300.0,623.0,0.0,http://youtube.com/channel/UCpYye8D5fFMUPf9nSfgd4bA,1,Recommend channels from Cluster 1 to users interested in this type of content.
116,DisneyMusicVEVO,"Música y baile, Películas",33200000.000000004,Estados Unidos,276900.0,3200.0,198.0,http://youtube.com/channel/UCgwv23FVv3lqh567yagXfNg,1,Recommend channels from Cluster 1 to users interested in this type of content.
117,KarolG,Música y baile,33000000.0,Colombia,74000.0,2700.0,165.0,http://youtube.com/channel/UCZuPJZ2kGFdlbQu1qotZaHw,1,Recommend channels from Cluster 1 to users interested in this type of content.
118,WowKidz1,"Animación, Humor",33000000.0,Unknown,17200.0,88.0,0.0,http://youtube.com/channel/UCN8S4CqMRy6tVKVXvs7Bzeg,1,Recommend channels from Cluster 1 to users interested in this type of content.
